Full Class Sched- ALL COLLEGES,   ,,,,,,,,,,,
Subject,Catalog,Section,Descr,Component,Name,Tot Enrl,Facil ID,Start Date,End Date,Mtg Pat,Mtg Start,Mtg End
BIOL, 211,23A,INTRO ORG/POP BIO,LAB,"Mustard,Robert R",24,SCI 212,1/23/17,5/12/17,F,12:30:00 PM,3:15:00 PM
BIOL, 211,30,INTRO ORG/POP BIO,LEC,"Stansfield,Daun B",23,ACD 301,1/23/17,5/12/17,M,6:00:00 PM,8:45:00 PM
BIOL, 211,31A,INTRO ORG/POP BIO,LAB,"Zappia,Anthony J",8,SCI 212,1/23/17,5/12/17,W,6:00:00 PM,8:45:00 PM
BIOL, 211,32A,INTRO ORG/POP BIO,LAB,"Zappia,Anthony J",15,SCI 212,1/23/17,5/12/17,R,6:00:00 PM,8:45:00 PM
BIOL, 212,01,EVOLUTION,LEC,"Kai,Zoya",25,MARK 106,1/23/17,5/12/17,MW,2:30:00 PM,3:45:00 PM
BIOL, 212,02,EVOLUTION,LEC,"Sustaita,Diego",30,SCI2 243,1/23/17,5/12/17,TR,9:00:00 AM,10:15:00 AM
BIOL, 212,03,EVOLUTION,LEC,"Sustaita,Diego",37,SCI2 243,1/23/17,5/12/17,TR,10:30:00 AM,11:45:00 AM
BIOL, 215,01,EXP DESIGN & STAT ANALYSIS,LEC,"Eme,John M",33,MARK 305,1/23/17,5/12/17,MW,8:30:00 AM,10:20:00 AM
BIOL, 215,02,EXP DESIGN & STAT ANALYSIS,LEC,"Eme,John M",32,MARK 309,1/23/17,5/12/17,MW,10:30:00 AM,12:20:00 PM
BIOL, 215,03,EXP DESIGN & STAT ANALYSIS,LEC,"Eme,John M",33,MARK 305,1/23/17,5/12/17,MW,4:30:00 PM,6:20:00 PM
BIOL, 215,05,EXP DESIGN & STAT ANALYSIS,LEC,"Soans,Chandrasen",28,ACD 211,1/23/17,5/12/17,TR,5:00:00 PM,6:50:00 PM
BIOL, 309,01,BIOLOGY OF EMERGING DISEASES,LEC,"Pillsworth Jr,Thomas J",75,SBSB 1102,1/23/17,5/12/17,TR,4:00:00 PM,5:15:00 PM
BIOL, 316,01,BIOLOGY OF CANCER,LEC,"Burg,Michael A",60,SBSB 1102,1/23/17,5/12/17,TR,7:30:00 AM,8:45:00 AM
BIOL, 318,01,PLANTS AND SOCIETY,LEC,"Sheath,Robert G",60,SBSB 1103,1/23/17,5/12/17,MW,4:00:00 PM,5:15:00 PM
BIOL, 321,01,HUMAN PHYSIOLOGY,LEC,"Burg,Michael A",75,ONLINE,1/23/17,5/12/17,,,
BIOL, 321,02,HUMAN PHYSIOLOGY,LEC,"Burg,Michael A",128,ONLINE,1/23/17,5/12/17,,,
BIOL, 323,02,PHYSIO OF NUTRITION & DISEASE,LEC,"Nance-Sotelo,Courtney E",54,SCI2 242,1/23/17,5/12/17,M,5:30:00 PM,8:20:00 PM
BIOL, 323,07,PHYSIO OF NUTRITION & DISEASE,LEC,"Long,Kevin D",19,FCB 101,1/23/17,5/12/17,T,5:30:00 PM,8:30:00 PM
BIOL, 323,08,PHYSIO OF NUTRITION & DISEASE,LEC,"Long,Kevin D",72,KEL 1111,1/23/17,5/12/17,M,5:30:00 PM,8:20:00 PM
BIOL, 323,09,PHYSIO OF NUTRITION & DISEASE,LEC,"Massis,Michael",75,ACD 305,1/23/17,5/12/17,M,5:30:00 PM,8:20:00 PM
